bioguide_id,Bridge Grade,House Member,District,Party,Bridge Score,Category,raw_A,normdisn_A,points_A,raw_B,normdisn_B,points_B,raw_D,normdisn_D,points_D,raw_E,normdisn_E,points_E,raw_F1,normdisn_F1,points_F1,raw_F2,normdisn_F2,points_F2,raw_G,normdisn_G,points_G,raw_H,normdisn_H,points_H,raw_I1,normdisn_I1,points_I1,raw_I2,normdisn_I2,points_I2,raw_K,normdisn_K,points_K,raw_L,normdisn_L,points_L,score_T,party_match,calc_M,normdisn_M,multiple_M,calc_N,normdisn_N,multple_N,calc_O,normdisn_O,multiple_O,multiple_M1,adj_score_S,VV_ideology,PRL_ideology,ideology_score,label,2024 Election Status
W000826,A, Susan Wild,PA-07,D,91.27,Bridger,22.00,95.98,95.98,12.00,73.74,36.87,0.11,70.85,106.28,12.25,35.29,35.29,357,96.96,72.72,11.29,95.42,71.56,0.00,32.44,16.22,20,78.88,39.44,11.29,95.42,71.56,0.16,23.65,57.26,30,93.76,46.88,0.302,81.35,40.68,666.29,0.00,2.12,9.20, 0.92 ,0.26, 10.81 ,0.54,1.21,24.80,1.24,101.8%,678.15,-0.260,-1.210, (48.38), Susan Wild (D) - PA-07,running
W000815,A, Brad R. Wenstrup,OH-02,R,91.22,Bridger,14.00,73.25,73.25,15.00,85.37,42.69,0.47,82.93,124.39,34.17,92.30,92.30,112,44.58,33.44,5.83,57.07,42.80,0.00,32.44,16.22,20,78.88,39.44,5.83,57.07,42.80,0.99,37.79,46.66,10,50.50,25.25,0.288,80.18,40.09,595.46,1.00,24.87,89.75, 8.98 ,0.53, 70.47 ,3.52,1.23,25.89,1.29,113.8%,677.59,0.528,1.229, 63.82 , Brad R. Wenstrup (R) - OH-02,retiring
A000376,A, Colin Z. Allred,TX-32,D,91.16,Bridger,6.00,30.57,30.57,6.00,42.12,21.06,-0.44,47.69,71.54,11.20,32.13,32.13,341,95.94,71.96,18.42,99.99,74.99,10.00,98.57,49.29,20,78.88,39.44,18.42,99.99,74.99,0.05,22.02,58.49,40,98.92,49.46,0.73,98.60,49.30,623.21,1.00,14.05,51.31, 5.13 ,0.44, 46.89 ,2.34,1.18,23.19,1.16,108.6%,677.03,-0.435,-1.179, (57.73), Colin Z. Allred (D) - TX-32,senate candidate
C001053,A, Tom Cole,OK-04,R,90.66,Bridger,4.00,21.47,21.47,17.00,90.84,45.42,0.70,88.60,132.89,50.44,99.71,99.71,245,83.04,62.28,7.60,74.77,56.07,0.00,32.44,16.22,20,78.88,39.44,7.60,74.77,56.07,0.18,23.95,57.04,5,35.64,17.82,0.412,89.01,44.50,620.67,1.00,18.55,70.76, 7.08 ,0.32, 20.62 ,1.03,0.60,4.23,0.21,108.3%,672.29,0.323,0.602, 38.91 , Tom Cole (R) - OK-04,running
J000294,A, Hakeem S. Jeffries,NY-08,D,90.28,Bridger,18.00,88.19,88.19,12.00,73.74,36.87,-0.38,50.41,75.62,3.85,14.26,14.26,245,83.04,62.28,9.89,90.32,67.74,10.00,98.57,49.29,20,78.88,39.44,9.89,90.32,67.74,5.88,98.15,1.39,10,50.50,25.25,-0.066,40.78,20.39,577.35,1.00,25.83,91.57, 9.16 ,0.49, 60.25 ,3.01,1.96,73.13,3.66,115.8%,668.73,-0.486,-1.964, (73.36), Hakeem S. Jeffries (D) - NY-08,running
H001072,A, J. French Hill,AR-02,R,90.25,Bridger,15.00,77.68,77.68,9.00,58.64,29.32,-0.22,57.40,86.10,34.98,93.21,93.21,175,64.84,48.63,4.38,41.20,30.90,10.00,98.57,49.29,20,78.88,39.44,4.38,41.20,30.90,0.30,25.81,55.64,20,78.05,39.02,0.269,78.53,39.26,629.43,1.00,9.03,29.46, 2.95 ,0.44, 47.42 ,2.37,1.07,17.71,0.89,106.2%,668.47,0.437,1.067, 55.75 , J. French Hill (R) - AR-02,running
K000399,A, Jennifer A. Kiggans,VA-02,R,90.06,Bridger,9.69,50.48,50.48,24.00,98.94,49.47,1.33,97.16,145.74,16.83,49.98,49.98,257,85.41,64.06,6.01,59.01,44.26,10.00,98.57,49.29,20,78.88,39.44,6.01,59.01,44.26,0.02,21.59,58.81,0,22.70,11.35,0.43,90.01,45.00,656.42,1.00,2.05,9.07, 0.91 ,0.26, 10.56 ,0.53,0.50,2.84,0.14,101.6%,666.77,0.258,0.498, 31.71 , Jennifer A. Kiggans (R) - VA-02,running
T000460,A, Mike Thompson,CA-04,D,89.69,Bridger,38.00,100.00,100.00,12.00,73.74,36.87,0.15,72.31,108.46,10.14,29.08,29.08,214,75.84,56.88,9.03,85.59,64.19,0.00,32.44,16.22,20,78.88,39.44,9.03,85.59,64.19,0.13,23.20,57.60,0,22.70,11.35,0.069,57.11,28.55,600.51,1.00,16.71,63.17, 6.32 ,0.39, 36.34 ,1.82,1.56,47.11,2.36,110.5%,663.51,-0.394,-1.563, (62.85), Mike Thompson (D) - CA-04,running
S000522,A, Christopher H. Smith,NJ-04,R,89.53,Bridger,24.00,97.89,97.89,19.00,94.62,47.31,0.81,90.84,136.26,46.26,99.22,99.22,105,42.32,31.74,4.49,42.39,31.79,0.00,32.44,16.22,20,78.88,39.44,4.49,42.39,31.79,0.56,30.10,52.43,10,50.50,25.25,-0.174,28.67,14.33,625.55,1.00,14.13,51.68, 5.17 ,0.18, 3.86 ,0.19,0.84,9.52,0.48,105.8%,662.06,0.180,0.844, 32.45 , Christopher H. Smith (R) - NJ-04,running
C001126,A, Mike Carey,OH-15,R,88.98,Bridger,0.00,8.78,8.78,11.00,69.02,34.51,0.08,69.89,104.83,26.05,77.56,77.56,89,37.26,27.94,10.79,93.92,70.44,10.00,98.57,49.29,20,78.88,39.44,10.79,93.92,70.44,0.48,28.74,53.44,20,78.05,39.02,-0.006,48.01,24.00,625.00,1.00,5.92,18.55, 1.85 ,0.41, 39.61 ,1.98,1.25,27.02,1.35,105.2%,657.41,0.407,1.249, 56.91 , Mike Carey (R) - OH-15,running
B001301,A, Jack Bergman,MI-01,R,88.93,Bridger,10.00,52.24,52.24,12.00,73.74,36.87,0.10,70.67,106.00,28.04,82.16,82.16,359,97.07,72.81,10.15,91.49,68.62,0.00,32.44,16.22,0,14.07,7.03,10.15,91.49,68.62,1.27,43.10,42.67,20,78.05,39.02,0.078,58.19,29.09,608.48,1.00,12.59,44.68, 4.47 ,0.43, 46.10 ,2.31,1.20,24.07,1.20,108.0%,657.02,0.432,1.196, 57.65 , Jack Bergman (R) - MI-01,running
K000391,A, Raja Krishnamoorthi,IL-08,D,88.82,Bridger,15.00,77.68,77.68,7.00,47.62,23.81,-0.41,49.11,73.66,9.75,27.98,27.98,369,97.58,73.19,7.35,72.51,54.38,10.00,98.57,49.29,20,78.88,39.44,7.35,72.51,54.38,0.89,35.94,48.04,35,97.23,48.62,-0.002,48.49,24.25,619.76,1.00,6.00,18.79, 1.88 ,0.34, 23.16 ,1.16,1.70,56.62,2.83,105.9%,656.12,-0.336,-1.702, (61.97), Raja Krishnamoorthi (D) - IL-08,running
M000194,A, Nancy Mace,SC-01,R,88.69,Bridger,8.00,41.06,41.06,22.00,97.86,48.93,1.19,95.99,143.98,40.36,97.35,97.35,179,66.05,49.54,4.17,38.96,29.22,10.00,98.57,49.29,20,78.88,39.44,4.17,38.96,29.22,4.45,91.69,6.23,30,93.76,46.88,-0.283,18.51,9.25,630.43,1.00,7.24,22.84, 2.28 ,0.34, 23.16 ,1.16,0.83,9.16,0.46,103.9%,655.01,0.336,0.832, 44.50 , Nancy Mace (R) - SC-01,running
S001221,A, Hillary J. Scholten,MI-03,D,88.52,Bridger,9.69,50.48,50.48,17.00,90.84,45.42,0.60,86.44,129.67,16.83,49.98,49.98,246,83.25,62.44,9.19,86.57,64.93,0.00,32.44,16.22,20,78.88,39.44,9.19,86.57,64.93,0.26,25.19,56.11,20,78.05,39.02,0.194,71.26,35.63,634.84,1.00,1.28,7.72, 0.77 ,0.25, 9.85 ,0.49,1.37,34.10,1.71,103.0%,653.70,-0.252,-1.367, (50.88), Hillary J. Scholten (D) - MI-03,running
M001213,A, Blake D. Moore,UT-01,R,88.27,Bridger,7.00,35.68,35.68,13.00,78.07,39.03,0.26,76.39,114.59,34.67,92.88,92.88,268,87.38,65.54,6.01,59.01,44.26,0.00,32.44,16.22,20,78.88,39.44,6.01,59.01,44.26,0.09,22.60,58.05,30,93.76,46.88,0.329,83.48,41.74,613.05,1.00,12.30,43.38, 4.34 ,0.37, 29.64 ,1.48,0.84,9.51,0.48,106.3%,651.64,0.366,0.844, 46.88 , Blake D. Moore (R) - UT-01,running
V000129,A, David G. Valadao,CA-22,R,88.16,Bridger,1.00,11.25,11.25,19.00,94.62,47.31,0.82,90.90,136.36,46.84,99.32,99.32,376,97.89,73.42,7.36,72.60,54.45,0.00,32.44,16.22,20,78.88,39.44,7.36,72.60,54.45,0.00,21.30,59.03,20,78.05,39.02,0.437,90.38,45.19,646.49,0.00,5.07,16.07, 1.61 ,0.26, 10.56 ,0.53,0.49,2.80,0.14,100.7%,650.80,0.258,0.494, 31.62 , David G. Valadao (R) - CA-22,running
C001059,A, Jim Costa,CA-21,D,87.56,Bridger,18.00,88.19,88.19,18.00,92.92,46.46,0.76,89.86,134.79,13.19,38.22,38.22,150,56.98,42.73,7.90,77.34,58.00,0.00,32.44,16.22,20,78.88,39.44,7.90,77.34,58.00,0.11,22.90,57.83,10,50.50,25.25,0.452,91.14,45.57,621.35,1.00,8.70,28.18, 2.82 ,0.20, 4.90 ,0.25,1.09,18.55,0.93,104.0%,646.15,-0.197,-1.085, (41.50), Jim Costa (D) - CA-21,running
M001157,A, Michael T. McCaul,TX-10,R,87.20,Bridger,19.00,90.75,90.75,16.00,88.33,44.16,0.54,84.93,127.39,43.03,98.44,98.44,159,59.86,44.89,5.47,53.14,39.85,0.00,32.44,16.22,20,78.88,39.44,5.47,53.14,39.85,3.10,76.51,17.62,10,50.50,25.25,0.172,68.93,34.46,600.09,1.00,12.59,44.68, 4.47 ,0.41, 40.89 ,2.04,0.98,14.27,0.71,107.2%,643.45,0.412,0.984, 52.66 , Michael T. McCaul (R) - TX-10,running
B001287,A, Ami Bera,CA-06,D,87.07,Bridger,16.00,81.66,81.66,14.00,81.95,40.98,0.30,77.79,116.68,11.80,33.94,33.94,188,68.72,51.54,11.49,95.92,71.94,0.00,32.44,16.22,20,78.88,39.44,11.49,95.92,71.94,0.12,23.05,57.71,0,22.70,11.35,0.016,50.69,25.34,609.62,1.00,7.39,23.36, 2.34 ,0.24, 8.97 ,0.45,1.64,52.07,2.60,105.4%,642.47,-0.244,-1.635, (55.08), Ami Bera (D) - CA-06,running
N000194,A, Wiley Nickel,NC-13,D,86.94,Bridger,9.69,50.48,50.48,13.00,78.07,39.03,0.24,75.58,113.36,16.83,49.98,49.98,290,90.75,68.06,10.13,91.40,68.55,0.00,32.44,16.22,20,78.88,39.44,10.13,91.40,68.55,0.66,31.82,51.13,40,98.92,49.46,0.279,79.41,39.70,630.49,0.00,1.64,8.33, 0.83 ,0.24, 8.65 ,0.43,1.23,26.12,1.31,101.7%,641.45,-0.241,-1.233, (47.57), Wiley Nickel (D) - NC-13,retiring
G000597,A, Andrew R. Garbarino,NY-02,R,86.63,Bridger,12.00,63.24,63.24,22.00,97.86,48.93,1.17,95.75,143.62,45.96,99.17,99.17,109,43.61,32.71,5.91,57.94,43.45,0.00,32.44,16.22,20,78.88,39.44,5.91,57.94,43.45,0.22,24.56,56.58,10,50.50,25.25,0.236,75.47,37.73,628.28,1.00,3.40,11.85, 1.19 ,0.24, 8.97 ,0.45,0.42,2.03,0.10,101.7%,639.18,0.244,0.415, 28.79 , Andrew R. Garbarino (R) - NY-02,running
L000601,A, Greg Landsman,OH-01,D,86.45,Bridger,9.69,50.48,50.48,11.00,69.02,34.51,0.01,67.22,100.83,16.83,49.98,49.98,290,90.75,68.06,12.65,98.04,73.53,0.00,32.44,16.22,20,78.88,39.44,12.65,98.04,73.53,0.52,29.42,52.94,30,93.76,46.88,0.199,71.78,35.89,622.61,1.00,1.75,8.53, 0.85 ,0.21, 5.77 ,0.29,1.24,26.27,1.31,102.5%,637.89,-0.209,-1.236, (45.39), Greg Landsman (D) - OH-01,running
T000469,A, Paul Tonko,NY-20,D,86.02,Bridger,22.00,95.98,95.98,11.00,69.02,34.51,-0.01,66.14,99.21,6.20,19.08,19.08,339,95.80,71.85,7.07,69.87,52.40,0.00,32.44,16.22,20,78.88,39.44,7.07,69.87,52.40,0.61,30.95,51.78,20,78.05,39.02,-0.265,20.01,10.01,588.13,1.00,6.94,21.82, 2.18 ,0.41, 41.41 ,2.07,1.98,73.94,3.70,107.9%,634.88,-0.414,-1.978, (70.27), Paul Tonko (D) - NY-20,running
W000823,A, Michael Waltz,FL-06,R,85.77,Bridger,16.00,81.66,81.66,10.00,63.96,31.98,-0.06,64.03,96.04,29.66,85.42,85.42,28,20.44,15.33,6.80,67.22,50.42,0.00,32.44,16.22,20,78.88,39.44,6.80,67.22,50.42,0.49,28.91,53.32,20,78.05,39.02,-0.113,35.31,17.66,575.49,1.00,13.98,50.99, 5.10 ,0.45, 51.12 ,2.56,1.56,47.08,2.35,110.0%,633.09,0.451,1.563, 64.39 , Michael Waltz (R) - FL-06,running
C001061,A, Emanuel Cleaver,MO-05,D,85.44,Bridger,12.00,63.24,63.24,0.00,15.08,7.54,-1.02,24.19,36.28,5.01,16.53,16.53,347,96.35,72.27,11.41,95.73,71.79,10.00,98.57,49.29,20,78.88,39.44,11.41,95.73,71.79,1.08,39.48,45.39,40,98.92,49.46,0.003,49.10,24.55,572.31,1.00,10.78,36.68, 3.67 ,0.45, 51.65 ,2.58,2.09,79.58,3.98,110.2%,630.86,-0.453,-2.086, (73.55), Emanuel Cleaver (D) - MO-05,running
B001260,A, Vern Buchanan,FL-16,R,85.16,Bridger,13.00,68.41,68.41,15.00,85.37,42.69,0.48,83.14,124.71,40.30,97.32,97.32,93,38.51,28.88,7.71,75.73,56.79,0.00,32.44,16.22,20,78.88,39.44,7.71,75.73,56.79,1.24,42.52,43.11,0,22.70,11.35,-0.086,38.42,19.21,601.93,1.00,6.99,21.99, 2.20 ,0.36, 28.73 ,1.44,1.05,16.93,0.85,104.5%,628.91,0.362,1.049, 50.42 , Vern Buchanan (R) - FL-16,running
S000168,A, Maria Elvira Salazar,FL-27,R,85.02,Bridger,14.00,73.25,73.25,27.00,99.67,49.84,1.72,99.04,148.56,46.23,99.22,99.22,103,41.68,31.26,3.86,35.71,26.79,0.00,32.44,16.22,20,78.88,39.44,3.86,35.71,26.79,0.26,25.19,56.11,20,78.05,39.02,0.156,67.18,33.59,622.71,0.00,0.15,6.02, 0.60 ,0.27, 12.22 ,0.61,0.63,4.64,0.23,100.8%,627.96,0.271,0.628, 35.48 , Maria Elvira Salazar (R) - FL-27,running
C001090,A, Matt Cartwright,PA-08,D,84.85,Bridger,30.00,99.80,99.80,11.00,69.02,34.51,0.08,69.88,104.81,8.97,25.89,25.89,116,45.88,34.41,9.03,85.59,64.19,0.00,32.44,16.22,20,78.88,39.44,9.03,85.59,64.19,0.23,24.72,56.46,40,98.92,49.46,0.026,51.91,25.95,605.61,0.00,4.12,13.56, 1.36 ,0.35, 25.44 ,1.27,1.53,44.71,2.24,103.5%,626.85,-0.347,-1.528, (59.69), Matt Cartwright (D) - PA-08,running
C001135,A, Lori Chavez-DeRemer,OR-05,R,84.72,Bridger,9.69,50.48,50.48,20.00,95.97,47.99,0.96,93.24,139.86,16.83,49.98,49.98,248,83.66,62.74,17.64,99.97,74.98,0.00,32.44,16.22,0,14.07,7.03,17.64,99.97,74.98,0.00,21.30,59.03,10,50.50,25.25,0.43,90.01,45.00,624.75,0.00,1.82,8.65, 0.87 ,0.17, 3.10 ,0.16,0.20,0.77,0.04,100.2%,625.96,0.165,0.198, 17.42 , Lori Chavez-DeRemer (R) - OR-05,running
S001207,A, Mikie Sherrill,NJ-11,D,84.57,Bridger,20.00,92.87,92.87,18.00,92.92,46.46,0.77,90.12,135.18,13.35,38.70,38.70,158,59.54,44.66,5.45,52.92,39.69,0.00,32.44,16.22,20,78.88,39.44,5.45,52.92,39.69,1.26,42.91,42.82,40,98.92,49.46,0.263,77.99,38.99,601.40,1.00,5.80,18.18, 1.82 ,0.23, 7.84 ,0.39,1.37,34.11,1.71,103.9%,624.95,-0.233,-1.367, (49.59), Mikie Sherrill (D) - NJ-11,running
C001055,A, Ed Case,HI-01,D,84.47,Bridger,12.00,63.24,63.24,10.00,63.96,31.98,-0.12,61.86,92.79,14.69,42.99,42.99,94,38.82,29.12,5.26,50.82,38.12,10.00,98.57,49.29,20,78.88,39.44,5.26,50.82,38.12,0.00,21.30,59.03,50,99.89,49.94,-0.078,39.36,19.68,583.35,1.00,13.60,49.26, 4.93 ,0.20, 5.39 ,0.27,1.41,36.64,1.83,107.0%,624.35,-0.204,-1.407, (48.29), Ed Case (D) - HI-01,running
M001221,A, Marcus J. Molinaro,NY-19,R,84.36,Bridger,9.69,50.48,50.48,30.00,99.91,49.96,4.32,100.00,150.00,16.83,49.98,49.98,314,93.60,70.20,9.42,87.90,65.92,0.00,32.44,16.22,0,14.07,7.03,9.42,87.90,65.92,0.87,35.58,48.32,10,50.50,25.25,0.101,60.91,30.45,615.50,1.00,0.43,6.41, 0.64 ,0.25, 9.51 ,0.48,0.58,3.92,0.20,101.3%,623.58,0.249,0.582, 32.77 , Marcus J. Molinaro (R) - NY-19,running
R000305,A, Deborah K. Ross,NC-02,D,84.33,Bridger,14.00,73.25,73.25,9.00,58.64,29.32,-0.20,58.05,87.08,7.96,23.25,23.25,131,50.79,38.09,9.34,87.45,65.59,10.00,98.57,49.29,20,78.88,39.44,9.34,87.45,65.59,1.64,50.30,37.28,0,22.70,11.35,0.046,54.34,27.17,568.81,1.00,11.89,41.54, 4.15 ,0.40, 37.84 ,1.89,1.93,71.03,3.55,109.6%,623.40,-0.400,-1.928, (68.86), Deborah K. Ross (D) - NC-02,running
B001278,A, Suzanne Bonamici,OR-01,D,84.28,Bridger,22.00,95.98,95.98,12.00,73.74,36.87,0.10,70.38,105.57,3.35,13.37,13.37,225,78.57,58.93,7.20,71.11,53.33,0.00,32.44,16.22,20,78.88,39.44,7.20,71.11,53.33,0.70,32.52,50.61,0,22.70,11.35,-0.418,9.53,4.77,551.22,1.00,17.74,67.51, 6.75 ,0.40, 37.09 ,1.85,2.31,88.69,4.43,113.0%,623.10,-0.397,-2.309, (73.50), Suzanne Bonamici (D) - OR-01,running
R000576,A, C. A. Dutch Ruppersberger,MD-02,D,83.93,Bridger,3.00,17.59,17.59,11.00,69.02,34.51,0.08,69.93,104.90,10.41,29.84,29.84,68,30.94,23.21,11.04,94.71,71.03,10.00,98.57,49.29,20,78.88,39.44,11.04,94.71,71.03,0.97,37.42,46.94,40,98.92,49.46,0.123,63.46,31.73,586.52,1.00,7.47,23.64, 2.36 ,0.30, 16.39 ,0.82,1.65,53.25,2.66,105.8%,620.81,-0.299,-1.653, (58.94), C. A. Dutch Ruppersberger (D) - MD-02,retiring
T000463,A, Michael R. Turner,OH-10,R,83.45,Bridger,5.00,25.82,25.82,21.00,97.04,48.52,1.02,94.05,141.07,51.49,99.78,99.78,117,46.21,34.66,6.87,67.92,50.94,0.00,32.44,16.22,20,78.88,39.44,6.87,67.92,50.94,0.23,24.72,56.46,10,50.50,25.25,0.253,77.07,38.54,605.31,1.00,4.12,13.56, 1.36 ,0.27, 11.69 ,0.58,0.45,2.32,0.12,102.1%,617.76,0.267,0.447, 31.31 , Michael R. Turner (R) - OH-10,running
S001172,A, Adrian Smith,NE-03,R,83.28,Bridger,2.00,14.18,14.18,15.00,85.37,42.69,0.43,81.73,122.60,31.73,88.97,88.97,171,63.62,47.71,5.87,57.50,43.13,0.00,32.44,16.22,20,78.88,39.44,5.87,57.50,43.13,0.38,27.10,54.68,0,22.70,11.35,0.25,76.79,38.40,540.31,1.00,28.89,95.78, 9.58 ,0.51, 66.47 ,3.32,1.21,24.79,1.24,114.1%,616.71,0.511,1.209, 62.57 , Adrian Smith (R) - NE-03,running
B001248,A, Michael C. Burgess,TX-26,R,83.03,Bridger,13.00,68.41,68.41,14.00,81.95,40.98,0.30,77.80,116.71,24.83,74.43,74.43,152,57.62,43.22,4.51,42.60,31.95,0.00,32.44,16.22,20,78.88,39.44,4.51,42.60,31.95,0.68,32.17,50.87,10,50.50,25.25,-0.165,29.61,14.80,555.65,1.00,13.04,46.72, 4.67 ,0.57, 78.32 ,3.92,1.49,42.38,2.12,110.7%,615.14,0.565,1.494, 69.75 , Michael C. Burgess (R) - TX-26,running
P000620,A, Brittany Pettersen,CO-07,D,82.83,Bridger,9.69,50.48,50.48,15.00,85.37,42.69,0.49,83.43,125.14,16.83,49.98,49.98,82,35.10,26.33,3.49,31.98,23.98,10.00,98.57,49.29,20,78.88,39.44,3.49,31.98,23.98,0.34,26.45,55.16,40,98.92,49.46,0.312,82.16,41.08,585.21,1.00,3.89,13.00, 1.30 ,0.36, 27.39 ,1.37,1.53,44.73,2.24,104.9%,613.92,-0.356,-1.528, (60.20), Brittany Pettersen (D) - CO-07,running
W000821,A, Bruce Westerman,AR-04,R,82.69,Bridger,10.00,52.24,52.24,9.00,58.64,29.32,-0.21,58.02,87.02,23.83,71.73,71.73,223,78.09,58.57,5.83,57.07,42.80,0.00,32.44,16.22,20,78.88,39.44,5.83,57.07,42.80,0.39,27.26,54.55,15,65.29,32.65,0.252,76.98,38.49,543.57,1.00,19.55,74.55, 7.46 ,0.55, 74.23 ,3.71,1.34,32.26,1.61,112.8%,613.04,0.545,1.338, 66.43 , Bruce Westerman (R) - AR-04,running
C001069,A, Joe Courtney,CT-02,D,82.36,Bridger,13.00,68.41,68.41,14.00,81.95,40.98,0.35,79.28,118.93,8.79,25.39,25.39,332,95.26,71.44,8.01,78.24,58.68,0.00,32.44,16.22,20,78.88,39.44,8.01,78.24,58.68,0.02,21.59,58.81,0,22.70,11.35,0.038,53.37,26.68,584.55,1.00,2.86,10.68, 1.07 ,0.34, 23.98 ,1.20,1.54,45.29,2.26,104.5%,611.04,-0.340,-1.537, (59.43), Joe Courtney (D) - CT-02,running
L000593,A, Mike Levin,CA-49,D,82.22,Bridger,22.00,95.98,95.98,12.00,73.74,36.87,0.17,73.09,109.63,7.58,22.32,22.32,200,72.12,54.09,9.16,86.39,64.79,0.00,32.44,16.22,20,78.88,39.44,9.16,86.39,64.79,0.64,31.47,51.39,0,22.70,11.35,0.172,68.93,34.46,583.11,1.00,3.14,11.28, 1.13 ,0.33, 21.58 ,1.08,1.59,48.83,2.44,104.6%,610.21,-0.328,-1.588, (59.62), Mike Levin (D) - CA-49,running
D000629,A, Sharice Davids,KS-03,D,82.20,Bridger,9.00,46.62,46.62,9.00,58.64,29.32,-0.16,60.01,90.02,12.43,35.83,35.83,470,99.75,74.81,16.94,99.94,74.96,0.00,32.44,16.22,20,78.88,39.44,16.94,99.94,74.96,0.00,21.30,59.03,20,78.05,39.02,0.285,79.93,39.96,596.44,0.00,1.00,7.27, 0.73 ,0.28, 13.33 ,0.67,1.34,32.47,1.62,102.3%,610.10,-0.279,-1.341, (52.16), Sharice Davids (D) - KS-03,running
K000389,A, Ro Khanna,CA-17,D,82.08,Bridger,11.00,57.82,57.82,6.00,42.12,21.06,-0.53,43.64,65.45,7.02,20.96,20.96,201,72.39,54.29,5.24,50.60,37.95,10.00,98.57,49.29,20,78.88,39.44,5.24,50.60,37.95,0.16,23.65,57.26,20,78.05,39.02,-0.306,16.69,8.35,529.79,1.00,23.31,86.20, 8.62 ,0.48, 57.94 ,2.90,1.91,70.03,3.50,115.0%,609.36,-0.477,-1.911, (72.23), Ro Khanna (D) - CA-17,running
G000594,A, Tony Gonzales,TX-23,R,80.83,Bridger,8.00,41.06,41.06,12.00,73.74,36.87,0.16,72.70,109.05,43.79,98.67,98.67,105,42.32,31.74,4.12,38.43,28.82,10.00,98.57,49.29,0,14.07,7.03,4.12,38.43,28.82,0.32,26.13,55.40,30,93.76,46.88,0.246,76.42,38.21,582.93,1.00,5.27,16.63, 1.66 ,0.34, 23.77 ,1.19,0.81,8.49,0.42,103.3%,602.03,0.339,0.807, 44.24 , Tony Gonzales (R) - TX-23,running
S001200,A, Darren Soto,FL-09,D,80.77,Bridger,19.00,90.75,90.75,15.00,85.37,42.69,0.48,83.22,124.83,13.03,37.69,37.69,194,70.44,52.83,3.55,32.57,24.43,0.00,32.44,16.22,20,78.88,39.44,3.55,32.57,24.43,0.02,21.59,58.81,20,78.05,39.02,0.189,70.74,35.37,567.36,1.00,8.05,25.73, 2.57 ,0.35, 25.87 ,1.29,1.51,43.81,2.19,106.1%,601.72,-0.349,-1.515, (59.57), Darren Soto (D) - FL-09,running
C001134,A, Yadira Caraveo,CO-08,D,80.32,Bridger,9.69,50.48,50.48,20.00,95.97,47.99,0.98,93.54,140.31,16.83,49.98,49.98,167,62.38,46.78,21.94,100.00,75.00,0.00,32.44,16.22,0,14.07,7.03,21.94,100.00,75.00,0.39,27.26,54.55,0,22.70,11.35,0.588,96.12,48.06,590.91,0.00,0.45,6.44, 0.64 ,0.26, 10.56 ,0.53,1.06,17.21,0.86,101.4%,599.12,-0.258,-1.055, (45.11), Yadira Caraveo (D) - CO-08,running
S001216,A, Kim Schrier,WA-08,D,80.06,Bridger,11.00,57.82,57.82,19.00,94.62,47.31,0.81,90.87,136.31,11.80,33.94,33.94,85,36.02,27.02,9.19,86.57,64.93,0.00,32.44,16.22,20,78.88,39.44,9.19,86.57,64.93,0.43,27.92,54.06,10,50.50,25.25,0.429,89.95,44.98,583.44,1.00,1.05,7.35, 0.73 ,0.28, 13.90 ,0.70,1.12,20.15,1.01,102.4%,597.66,-0.283,-1.119, (48.05), Kim Schrier (D) - WA-08,running
W000798,A, Tim Walberg,MI-05,R,80.04,Bridger,12.00,63.24,63.24,6.00,42.12,21.06,-0.45,47.28,70.92,28.50,83.13,83.13,166,62.06,46.55,9.17,86.45,64.84,0.00,32.44,16.22,20,78.88,39.44,9.17,86.45,64.84,0.94,36.86,47.35,0,22.70,11.35,0.157,67.29,33.65,545.16,1.00,14.56,53.63, 5.36 ,0.50, 63.53 ,3.18,1.15,21.48,1.07,109.6%,597.57,0.499,1.146, 60.84 , Tim Walberg (R) - MI-05,running
A000375,A, Jodey C. Arrington,TX-19,R,79.78,Bridger,8.00,41.06,41.06,9.00,58.64,29.32,-0.21,57.69,86.54,21.94,66.25,66.25,112,44.58,33.44,4.44,41.85,31.38,10.00,98.57,49.29,20,78.88,39.44,4.44,41.85,31.38,3.01,75.14,18.65,20,78.05,39.02,0.003,49.10,24.55,515.07,1.00,25.92,91.73, 9.17 ,0.64, 90.08 ,4.50,1.47,41.08,2.05,115.7%,596.10,0.641,1.474, 72.88 , Jodey C. Arrington (R) - TX-19,running
W000804,A, Robert J. Wittman,VA-01,R,79.45,Bridger,11.00,57.82,57.82,12.00,73.74,36.87,0.18,73.65,110.48,32.60,90.26,90.26,204,73.21,54.91,3.93,36.44,27.33,0.00,32.44,16.22,20,78.88,39.44,3.93,36.44,27.33,0.10,22.75,57.94,10,50.50,25.25,0.019,51.05,25.53,560.06,1.00,6.34,19.85, 1.99 ,0.45, 50.33 ,2.52,1.34,32.21,1.61,106.1%,594.29,0.448,1.337, 60.92 , Robert J. Wittman (R) - VA-01,running
